cve,svn_commit,other_platform_git_commit,github_commit,equivalent_commit
CVE-2016-8864,,,https://github.com/isc-projects/bind9/commit/8bd0c12d53bea6f299e92d20ee0a23b16a7f65bc,
CVE-2016-8864,,,https://github.com/isc-projects/bind9/commit/bbb7c613b3e41495db627909660334695b48e60b,
CVE-2016-8864,,,https://github.com/isc-projects/bind9/commit/0100537150e0f0de97cbe8df4830de645f2c0e56,
CVE-2016-8864,,,https://github.com/isc-projects/bind9/commit/bd6f27f5c353133b563fe69100b2f168c129f3ca,
CVE-2016-8864,,,https://github.com/isc-projects/bind9/commit/b1c86ca6c5ad0785076bb7ec342fb3bd1b5c1ed9,
CVE-2016-8864,,,https://github.com/isc-projects/bind9/commit/7c66fc970082f2f8b4a7ae1bbfca3531ab6798b4,
CVE-2017-12663,,,https://github.com/ImageMagick/ImageMagick/commit/1dc0ac5016f1c4d50b100a086526d6a2453a5444,
CVE-2017-12663,,,https://github.com/ImageMagick/ImageMagick/commit/6233ef75bb973745ab1092b59aea8fe316f09074,
CVE-2018-14884,,,https://github.com/php/php-src/commit/0e097f2c96ce31b16fa371981045f224e5a37160,
CVE-2017-14060,,,https://github.com/ImageMagick/ImageMagick/commit/c535e1f1a6b1faaa35e007df4fc535ec08daa97c,
CVE-2017-14060,,,https://github.com/ImageMagick/ImageMagick/commit/5bdfef29f5e6744f36f25ec04583c6b6f4a13b48,
CVE-2013-4352,http://svn.apache.org/viewvc?view=revision&revision=1523235,,,
CVE-2015-5252,,https://git.samba.org/?p=samba.git;a=commit;h=4278ef25f64d5fdbf432ff1534e275416ec9561e,,
CVE-2019-11235,,,https://github.com/FreeRADIUS/freeradius-server/commit/ab4c767099f263a7cd4109bcdca80ee74210a769,
CVE-2019-11235,,,https://github.com/FreeRADIUS/freeradius-server/commit/85497b5ff37ccb656895b826b88585898c209586,
CVE-2019-11235,,,https://github.com/FreeRADIUS/freeradius-server/commit/a99746c93b8b3ae3be367af0e46f0d6a9626f566,
CVE-2017-7375,,https://android.googlesource.com/platform/external/libxml2/+/308396a55280f69ad4112d4f9892f4cbeff042aa,,
CVE-2017-7375,,https://gitlab.gnome.org/GNOME/libxml2/commit/90ccb58242866b0ba3edbef8fe44214a101c2b3e,,
CVE-2018-10908,,https://gerrit.ovirt.org/gitweb?p=vdsm.git;a=commit;h=c15dcbe8947a898a8a018d7fed03b25fd2a9852b,,
CVE-2015-8917,,,https://github.com/libarchive/libarchive/commit/b2e2abbb13ddcd962470cc1adb43b085f6e407a4,
CVE-2018-19134,,http://git.ghostscript.com/?p=ghostpdl.git;a=commitdiff;h=693baf02152119af6e6afd30bb8ec76d14f84bbf,,
CVE-2018-20023,,,https://github.com/LibVNC/libvncserver/commit/8b06f835e259652b0ff026898014fc7297ade858,
CVE-2020-2162,,,https://github.com/jenkinsci/jenkins/commit/c2d22b241eba718c62996e2ceeb5f2e0e9787f81,
CVE-2018-1000878,,,https://github.com/libarchive/libarchive/pull/1105/commits/bfcfe6f04ed20db2504db8a254d1f40a1d84eb28,
CVE-2018-19539,,,https://github.com/jasper-software/jasper/commit/839b1bcf0450ff036c28e8db40a7abf886e02891,
CVE-2019-11459,,https://gitlab.gnome.org/GNOME/evince/-/merge_requests/145/diffs?commit_id=3e38d5ad724a042eebadcba8c2d57b0f48b7a8c7,,
CVE-2019-11459,,https://gitlab.gnome.org/GNOME/evince/-/merge_requests/146/diffs?commit_id=234f034a4d15cd46dd556f4945f99fbd57ef5f15,,
CVE-2018-0937,,,https://github.com/chakra-core/ChakraCore/commit/069c3fb1e597f3eaea32092599de4a72bbecc365,
CVE-2017-12693,,,https://github.com/jasper-maint/jasper/commit/243749e5a6384acdb9f0a59515c0b85dfd62bd5b,git_243749e5a6384acdb9f0a59515c0b85dfd62bd5b==git_eb6a004719bd1555b9f618851bc00e8f76271588
CVE-2017-12693,,,https://github.com/jasper-maint/jasper/commit/eb6a004719bd1555b9f618851bc00e8f76271588,git_243749e5a6384acdb9f0a59515c0b85dfd62bd5b==git_eb6a004719bd1555b9f618851bc00e8f76271588
CVE-2017-12693,,,https://github.com/ImageMagick/ImageMagick/commit/75fcbf5d649bba046c6a0db650a518f7bfc0fb3f,git_75fcbf5d649bba046c6a0db650a518f7bfc0fb3f==git_6709bd585b9609a9cf98a7042089f3e725886d5e
CVE-2017-12693,,,https://github.com/ImageMagick/ImageMagick/commit/6709bd585b9609a9cf98a7042089f3e725886d5e,git_75fcbf5d649bba046c6a0db650a518f7bfc0fb3f==git_6709bd585b9609a9cf98a7042089f3e725886d5e
CVE-2014-9272,,,https://github.com/mantisbt/mantisbt/commit/05378e00313a8c591de19e74a4212473a8c6a7dd,git_05378e00313a8c591de19e74a4212473a8c6a7dd==git_66c142dc3b652cdb07d61f2edbf3a798234ef48a
CVE-2014-9272,,,https://github.com/mantisbt/mantisbt/commit/66c142dc3b652cdb07d61f2edbf3a798234ef48a,git_05378e00313a8c591de19e74a4212473a8c6a7dd==git_66c142dc3b652cdb07d61f2edbf3a798234ef48a
CVE-2019-13233,,,https://github.com/torvalds/linux/commit/de9f869616dd95e95c00bdd6b0fcd3421e8a4323,
CVE-2014-9623,,https://git.openstack.org/cgit/openstack/glance/commit?id=7d5d8657fd70b20518610b3c6f8e41e16c72fa31,,
CVE-2014-9623,,https://git.openstack.org/cgit/openstack/glance/commit?id=0dc8fbb3479a53c5bba8475d14f4c7206904c5ea,,
CVE-2014-9623,,https://git.openstack.org/cgit/openstack/glance/commit?id=f1260cc771ee068651aa62b972bef49d9af81eb0,,
CVE-2019-16541,,,https://github.com/jenkinsci/jira-plugin/commit/3214a54b6871d82cb34a26949aad93b0fa78d1a8,
CVE-2015-8970,,,https://github.com/torvalds/linux/commit/dd504589577d8e8e70f51f997ad487a4cb6c026f,
CVE-2020-0813,,,https://github.com/hexloop/ChakraCore/commit/e6abd1d110442e6357351c23a7f882f83e4bbe4d,
CVE-2019-6778,,https://git.qemu.org/?p=qemu.git;a=commit;h=a7104eda7dab99d0cdbd3595c211864cba415905,,
CVE-2018-20481,,https://gitlab.freedesktop.org/poppler/poppler/-/commit/39a251b1b3a3343400a08e2f03c5518a26624626,,
CVE-2016-7797,,,https://github.com/ClusterLabs/pacemaker/commit/5ec24a2642bd0854b884d1a9b51d12371373b410,
CVE-2016-7797,,,https://github.com/ClusterLabs/pacemaker/commit/8b8ef76a6c28c35b3ec264b1e8f5acf91949f1e4,
CVE-2009-5147,,,https://github.com/ruby/ruby/commit/4600cf725a86ce31266153647ae5aa1197b1215b,
CVE-2017-6836,,,https://github.com/mpruett/audiofile/commit/7d65f89defb092b63bcbc5d98349fb222ca73b3c,
CVE-2017-6836,,,https://github.com/mpruett/audiofile/commit/c48e4c6503f7dabd41f11d4c9c7b7f8960e7f2c0,
CVE-2017-8291,,https://git.ghostscript.com/?p=ghostpdl.git;a=commit;h=04b37bbce174eed24edec7ad5b920eb93db4d47d,,
CVE-2017-8291,,https://git.ghostscript.com/?p=ghostpdl.git;a=commitdiff;h=4f83478c88,,
CVE-2019-20018,,,https://github.com/tbeu/matio/commit/65831b7ec829b0ae0ac9d691a2f8fbc2b26af677,
CVE-2020-2094,,,https://github.com/jenkinsci/cloudbees-jenkins-advisor-plugin/commit/f53fe8a41a1566fdd7d2996779f6c5684ef3e2df,
CVE-2018-0891,,,https://github.com/microsoft/ChakraCore/commit/63a49d8b89d063b81401679d35253e196928d9d7,
CVE-2015-3330,,http://git.php.net/?p=php-src.git;a=commit;h=809610f5ea38a83b284e1125d1fff129bdd615e7,,
