cve,svn_commit,other_platform_git_commit,github_commit,equivalent_commit
CVE-2013-4322,,,https://github.com/apache/tomcat/commit/d6a9898125f34e593de426e8c7dabb0f224fc00f,svn_1521834==git_d6a9898125f34e593de426e8c7dabb0f224fc00f
CVE-2013-6235,,,https://github.com/stevensouza/jamonapi/commit/05e6be6849abade047056c25ece23d9553deb3f3,
CVE-2013-6348,https://svn.apache.org/viewvc?view=revision&revision=1536698,,,git_fd27e5cc748420a53d51e0e19a10efe8c582c2c0==svn_1536698
CVE-2013-6348,,,https://github.com/apache/struts/commit/fd27e5cc748420a53d51e0e19a10efe8c582c2c0,git_fd27e5cc748420a53d51e0e19a10efe8c582c2c0==svn_1536698
CVE-2013-6348,https://svn.apache.org/viewvc?view=revision&revision=1533354,,,git_01584fabc74635d63a1b2670f18d8fcd1ee046cc==svn_1533354
CVE-2013-6348,,,https://github.com/apache/struts/commit/01584fabc74635d63a1b2670f18d8fcd1ee046cc,git_01584fabc74635d63a1b2670f18d8fcd1ee046cc==svn_1533354
CVE-2013-6429,,,https://github.com/spring-projects/spring-framework/commit/2ae6a6a3415eebc57babcb9d3e5505887eda6d8a,
CVE-2013-6429,,,https://github.com/spring-projects/spring-framework/commit/7387cb990e35b0f1b573faf29d4f9ae183d7a5ef,
CVE-2013-6430,,,https://github.com/spring-projects/spring-framework/commit/f5c9fe69a444607af667911bd4c5074b5b073e7b,
CVE-2013-6430,,,https://github.com/spring-projects/spring-framework/commit/7a7df6637478607bef0277bf52a4e0a03e20a248,
CVE-2013-6465,,,https://github.com/kiegroup/jbpm-wb/commit/4818204506e8e94645b52adb9426bedfa9ffdd04,
CVE-2013-7315,,,https://github.com/frankneusource/spring-framework/commit/7576274874deeccb6da6b09a8d5bd62e8b5538b7,
CVE-2013-7315,,,https://github.com/spring-projects/spring-framework/commit/434735fbf6e7f9051af2ef027657edb99120b173,
CVE-2013-7397,,,https://github.com/AsyncHttpClient/async-http-client/commit/df6ed70e86c8fc340ed75563e016c8baa94d7e72,
CVE-2013-7397,,,https://github.com/AsyncHttpClient/async-http-client/commit/dfacb8e05d0822c7b2024c452554bd8e1d6221d8,
CVE-2013-7398,,,https://github.com/AsyncHttpClient/async-http-client/commit/bbdc1b3cc6ffc0eda0dd0ad54557db557ae937f7,git_3c9152e2c75f7e8b654beec40383748a14c6b51b==git_db6716ad2f10f5c2d5124904725017b2ba8c3434+git_fa056c572ab0c9b6edd05a7cc508898f35cc90d5+git_bbdc1b3cc6ffc0eda0dd0ad54557db557ae937f7
CVE-2013-7398,,,https://github.com/AsyncHttpClient/async-http-client/commit/fa056c572ab0c9b6edd05a7cc508898f35cc90d5,git_3c9152e2c75f7e8b654beec40383748a14c6b51b==git_db6716ad2f10f5c2d5124904725017b2ba8c3434+git_fa056c572ab0c9b6edd05a7cc508898f35cc90d5+git_bbdc1b3cc6ffc0eda0dd0ad54557db557ae937f7
